taxonomy,value,newCategory,newTag,notes
tag,maptimeDavis,Community,"Research and Learning Cluster, Spatial Sciences, maptimeDavis",Research and Learning Cluster
tag,on_campus,NA,NA,
tag,upco,NA,NA,
tag,upcoming_announcements,NA,NA,
tag,upcoming_community,Community,NA,
tag,upcoming_events,Events,NA,
tag,& Education,NA,NA,
tag,2017 Dec Tutorials,NA,NA,
tag,2017 Oct Opinions,NA,NA,
tag,2017 Sep News,NA,NA,
tag,2017 Sep Tutorials,NA,NA,
tag,3D,Research,"Data Visualization, 3D Data",
tag,About Gregory Piatetsky,NA,NA,
tag,ADVANCED TEXT ANALYSIS,NA,Digital Humanities,
tag,Affiliated Event,Community,NA,
tag,affirmative action,NA,NA,discard
tag,affordable housing,NA,NA,discard
tag,AI,NA,NA,discard
tag,Amazon Web Services,NA,"Cloud Computing, Remote Computing",discard
tag,Anaconda,NA,"Anaconda, Environment Management, Python",discard
tag,and Research Data Management,NA,NA,discard
tag,Andrew Piper,NA,NA,discard
tag,API,NA,"API, Data Access",discard
tag,Applied Bayesian Statistics,Community,"Research and Learning Cluster, Bayesian Statistics",
tag,Applied Data Science,NA,NA,discard
tag,ArcGIS,NA,Spatial Sciences,discard
tag,Articles,NA,NA,discard
tag,AWS,NA,"Cloud Computing, Remote Computing",discard
tag,Azure,NA,"Cloud Computing, Remote Computing",discard
tag,Bayes,NA,Bayesian Statistics,discard
tag,Bayesian,NA,Bayesian Statistics,discard
tag,Bernard Marr,NA,,discard
tag,Bibliographies,NA,Bibliometrics,discard
tag,Bibliometric Dat,NA,Bibliometrics,discard
tag,Big Data,NA,NA,discard
tag,Bloomberg,NA,NA,discard
tag,Brennan,NA,NA,discard
tag,C/C++,NA,C/C++,discard
tag,Caitlin Marley,NA,NA,discard
tag,Campus Event,Events,,
tag,Carla Gentry,NA,NA,discard
tag,Cartography,NA,Spatial Sciences,discard
tag,CaSITA,NA,"Datasets, Spatial Sciences",discard
tag,census,NA,Datasets,discard
tag,cloud-computing,NA,Remote Computing,discard
tag,Cluster Computing,NA,Remote Computing,discard
tag,Colab Project,Research,NA,discard
tag,collaboration,NA,NA,discard
tag,Command line,NA,Command Line,discard
tag,computational pedagogy,Community,"Research and Learning Cluster, Computational Pedagogy",
tag,Computer Vision,NA,Computer Vision,discard
tag,Coronavirus (2019-nCoV),Research,COVID,discard
tag,COVID-19,Research,COVID,discard
tag,Dat,NA,NA,discard
tag,data,NA,NA,discard
tag,DATA CLEANING/PREP TOOLS,NA,NA,discard
tag,Data Curation,NA,NA,discard
tag,Data Daily | Data News,NA,NA,discard
tag,Data Education,Education,NA,discard
tag,Data Feminism,Community,"Research and Learning Cluster, Data Feminism",
tag,DATA GATHERING TOOLS,NA,NA,discard
tag,Data Preparation,NA,NA,discard
tag,Data Preprocessing,NA,NA,discard
tag,Data Science,NA,NA,discard
tag,Data Science Platform,NA,NA,discard
tag,data storage,NA,NA,discard
tag,Data Visualization,NA,Data Visualization,discard
tag,Databases,NA,Databases,discard
tag,DataFest,Events,Data Challenge,
tag,data lab,NA,NA,discard
tag,datalab,NA,NA,discard
tag,DataLab Affiliate,NA,NA,discard
tag,DataLab Event,Events,NA,
tag,datalab events,Events,NA,
tag,DataLab Faculty,Community,People,
tag,DataLab Staff,Community,People,
tag,DATASET SOURCES,NA,Datasets,discard
tag,Davis Python Users Group,Community,"Research and Learning Cluster, User Group, Python, Davis Python Users Group",discard
tag,Davis R Users Group,Community,"Research and Learning Cluster, User Group, Python, Davis R Users Group",discard
tag,Digi AVAs,Research,Spatial Sciences,discard
tag,Digital Curation & Digital Preservation,NA,NA,discard
tag,Digital History,NA,NA,discard
tag,Digital Humanities,Community,"Research and Learning Cluster, Digital Humanities",discard
tag,Digital Scholarship Publications,NA,Digital Humanities,discard
tag,DJ Patil,NA,NA,discard
tag,drones,NA,NA,discard
tag,DSN,NA,NA,discard
tag,Dynamic Visualization,NA,Data Visualization,discard
tag,EBBA,NA,Digital Humanities,discard
tag,Economic Conditions and Trends,NA,NA,discard
tag,Education (K-12),NA,NA,discard
tag,Education Resources For Use & Management of Data,Education,NA,discard
tag,Election Data Challange,Events,"Data Challenge, CA Election Data Challenge",discard
tag,Election Data Chellenge,Events,"Data Challenge, CA Election Data Challenge",discard
tag,Ensemble methods,NA,NA,discard
tag,ers,NA,NA,discard
tag,Event,Events,NA,
tag,Events,Events,NA,
tag,Excel,NA,NA,discard
tag,External EventFall 2017,NA,NA,discard
tag,Fall 2018,NA,NA,discard
tag,fall 2019,NA,NA,discard
tag,Featured Post,NA,NA,discard
tag,Features,NA,NA,discard
tag,FTD,NA,NA,discard
tag,Fundamentals,NA,NA,discard
tag,Gaye Tuchman,NA,NA,discard
tag,ge,NA,NA,discard
tag,GEE,NA,NA,discard
tag,geocoding,NA,"Spatial Sciences, Geocoding",discard
tag,geospatial,NA,"Spatial Sciences, Geospatial",discard
tag,GI,NA,,discard
tag,GIS,NA,"Spatial Sciences, Geospatial, GIS",discard
tag,git,NA,"Version Control, Git",discard
tag,GitHub,NA,"Version Control, GitHub",discard
tag,google earth,NA,Spatial Sciences,discard
tag,Google Earth Engine,NA,Spatial Sciences,discard
tag,Hack for California,Community,"Research and Learning Cluster, Hack for California",
tag,Hackathon,Events,"Data Challenge, Hackathon",
