,ark,language of material,contributing institution,title,creator,call_number,physical description,date (inclusive),date (bulk),abstract,physical location,dates,creator/collector,extent,date,photographer,collector,material specific details,source,author,language,phyiscal location,repository,record series,origination,shelf location,original,series,id,date_gmt,modified,modified_gmt,slug,status,type,link,featured_media,template,tags,guid.rendered,title.rendered,acf.ucdlib_manuscript_biog,acf.ucdlib_manuscript_descrip,acf.ucdlib_manuscript_call_num,acf.ucdlib_manuscript_date,acf.ucdlib_manuscript_extent_num,acf.ucdlib_manuscript_extent_type,acf.ucdlib_manuscript_url,acf.ucdlib_manuscript_moreinfo_name,acf.ucdlib_manuscript_moreinfo_url,acf.ucdlib_manuscript_moreinfo2_name,acf.ucdlib_manuscript_moreinfo2_url,acf.ucdlib_manuscript_photo_cat,_links.self,_links.collection,_links.about,_links.wp:attachment,_links.wp:term,_links.curies,_links.wp:featuredmedia,acf.ucdlib_uacollections_description,acf.ucdlib_uacollections_history,acf.ucdlib_uacollections_call_num,acf.ucdlib_uacollections_extent_num,acf.ucdlib_uacollections_extent_type,acf.ucdlib_uacollections_date,acf.ucdlib_uacollections_subject,acf.ucdlib_uacollections_moreinfo_url,acf.ucdlib_uacollections_moreinfo_name
12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41420,2020-03-20T18:18:04,2020-03-20T11:18:04,2020-03-20T18:18:04,visalia-california-rainfall-log-book,publish,manuscript,https://www.library.ucdavis.edu/archives-and-special-collections/manuscript/visalia-california-rainfall-log-book/,0.0,,[2630],https://www.library.ucdavis.edu/?post_type=manuscript&#038;p=41420,"Visalia, California Rainfall Log Book",,"Handwritten annotated ledger of rainfall totals in Visalia, California.",MC281 ,1877-1914 ,,,,,,,,False,[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/manuscript/41420'}],[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/manuscript'}],[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/types/manuscript'}],[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/media?parent=41420'}],"[{'taxonomy': 'post_tag', 'embeddable': True, 'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/tags?post=41420'}]","[{'name': 'wp', 'href': 'https://api.w.org/{rel}', 'templated': True}]",,,,,,,,,,
75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11166,2017-03-22T19:56:33,2017-03-22T12:56:33,2017-03-22T19:56:33,wilson-virginia-p-papers,publish,manuscript,https://www.library.ucdavis.edu/archives-and-special-collections/manuscript/wilson-virginia-p-papers/,0.0,,[2626],https://www.library.ucdavis.edu/manuscript/wilson-virginia-p-papers/,"Wilson, Virginia P. Papers.",,Correspondence between Wilson and several writers regarding publication endeavors.,MC088,1969-1977.,,linear feet,,,,,,False,[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/manuscript/11166'}],[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/manuscript'}],[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/types/manuscript'}],[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/media?parent=11166'}],"[{'taxonomy': 'post_tag', 'embeddable': True, 'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/tags?post=11166'}]","[{'name': 'wp', 'href': 'https://api.w.org/{rel}', 'templated': True}]",,,,,,,,,,
118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11123,2017-03-22T19:56:31,2017-03-22T12:56:31,2017-03-22T19:56:31,viticulture-and-enology-collection-wine-labels,publish,manuscript,https://www.library.ucdavis.edu/archives-and-special-collections/manuscript/viticulture-and-enology-collection-wine-labels/,0.0,,[2621],https://www.library.ucdavis.edu/manuscript/viticulture-and-enology-collection-wine-labels/,Viticulture and Enology Collection: Wine Labels.,,"Wine labels, primarily from California..",O-013,1975- .,5.6,linear feet,,,,,,False,[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/manuscript/11123'}],[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/manuscript'}],[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/types/manuscript'}],[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/media?parent=11123'}],"[{'taxonomy': 'post_tag', 'embeddable': True, 'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/tags?post=11123'}]","[{'name': 'wp', 'href': 'https://api.w.org/{rel}', 'templated': True}]",,,,,,,,,,
119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11122,2017-03-22T19:56:31,2017-03-22T12:56:31,2017-03-22T19:56:31,viticulture-and-enology-collection-united-states-pamphlets,publish,manuscript,https://www.library.ucdavis.edu/archives-and-special-collections/manuscript/viticulture-and-enology-collection-united-states-pamphlets/,0.0,,[2621],https://www.library.ucdavis.edu/manuscript/viticulture-and-enology-collection-united-states-pamphlets/,Viticulture and Enology Collection: United States Pamphlets.,,"Promotional wine pamphlets from United States wineries, with a strong emphasis on California.",O-035,1970- .,1.4,linear feet,,,,,,False,[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/manuscript/11122'}],[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/manuscript'}],[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/types/manuscript'}],[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/media?parent=11122'}],"[{'taxonomy': 'post_tag', 'embeddable': True, 'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/tags?post=11122'}]","[{'name': 'wp', 'href': 'https://api.w.org/{rel}', 'templated': True}]",,,,,,,,,,
122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11119,2017-03-22T19:56:31,2017-03-22T12:56:31,2017-03-22T19:56:31,viticulture-and-enology-collection-broadsides,publish,manuscript,https://www.library.ucdavis.edu/archives-and-special-collections/manuscript/viticulture-and-enology-collection-broadsides/,0.0,,[2621],https://www.library.ucdavis.edu/manuscript/viticulture-and-enology-collection-broadsides/,Viticulture and Enology Collection: Broadsides.,,"Posters and broadsides relating to wine-making and wineries, as well as advertising particular varieties.",O-037,1950- .,0.6,linear feet,,,,,,False,[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/manuscript/11119'}],[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/manuscript'}],[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/types/manuscript'}],[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/media?parent=11119'}],"[{'taxonomy': 'post_tag', 'embeddable': True, 'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/tags?post=11119'}]","[{'name': 'wp', 'href': 'https://api.w.org/{rel}', 'templated': True}]",,,,,,,,,,
156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11085,2017-03-22T19:56:30,2017-03-22T12:56:30,2017-03-22T19:56:30,titus-charles-m-papers,publish,manuscript,https://www.library.ucdavis.edu/archives-and-special-collections/manuscript/titus-charles-m-papers/,0.0,,[2630],https://www.library.ucdavis.edu/manuscript/titus-charles-m-papers/,"Titus, Charles M. Papers","Professor of Mathematics and Surveying and Associate Statistician in the Experiment Station, University of California, College of Agriculture.","Account of Titus Club hike to Mt. Whitney (1925), photograph, and Agricola yearbook (1916) dedicated to Titus.",MC236,circa 1900-1925.,,,,,,,,False,[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/manuscript/11085'}],[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/manuscript'}],[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/types/manuscript'}],[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/media?parent=11085'}],"[{'taxonomy': 'post_tag', 'embeddable': True, 'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/tags?post=11085'}]","[{'name': 'wp', 'href': 'https://api.w.org/{rel}', 'templated': True}]",,,,,,,,,,
162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11079,2017-03-22T19:56:30,2017-03-22T12:56:30,2017-03-22T19:56:30,theatre-serials-collection,publish,manuscript,https://www.library.ucdavis.edu/archives-and-special-collections/manuscript/theatre-serials-collection/,0.0,,[2623],https://www.library.ucdavis.edu/manuscript/theatre-serials-collection/,Theatre Serials Collection.,,"Nineteenth and twentieth century American and European publications, including a sizable run of Playbill.",O-027,1800- .,43.4,linear feet,,,,,,False,[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/manuscript/11079'}],[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/manuscript'}],[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/types/manuscript'}],[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/media?parent=11079'}],"[{'taxonomy': 'post_tag', 'embeddable': True, 'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/tags?post=11079'}]","[{'name': 'wp', 'href': 'https://api.w.org/{rel}', 'templated': True}]",,,,,,,,,,
163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11078,2017-03-22T19:56:30,2017-03-22T12:56:30,2017-03-22T19:56:30,theatre-scrapbooks-collection,publish,manuscript,https://www.library.ucdavis.edu/archives-and-special-collections/manuscript/theatre-scrapbooks-collection/,0.0,,[2623],https://www.library.ucdavis.edu/manuscript/theatre-scrapbooks-collection/,Theatre Scrapbooks Collection.,,"Programs, program clippings, pictorial clippings, newspaper clippings, promotional materials, and ticket stubs are included in many of the scrapbooks; others contain only pictorial clippings which depict costumed actors and actresses. Most items relate to early 20th century American theatre, but there are some nineteenth century items as well as British and French material.",O-017,1800- .,25.1,linear feet,,,,,,False,[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/manuscript/11078'}],[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/manuscript'}],[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/types/manuscript'}],[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/media?parent=11078'}],"[{'taxonomy': 'post_tag', 'embeddable': True, 'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/tags?post=11078'}]","[{'name': 'wp', 'href': 'https://api.w.org/{rel}', 'templated': True}]",,,,,,,,,,
164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11077,2017-03-22T19:56:30,2017-03-22T12:56:30,2017-03-22T19:56:30,theatre-promotional-materials-collection,publish,manuscript,https://www.library.ucdavis.edu/archives-and-special-collections/manuscript/theatre-promotional-materials-collection/,0.0,,[2623],https://www.library.ucdavis.edu/manuscript/theatre-promotional-materials-collection/,Theatre Promotional Materials Collection.,,"Brochures, mailers, and press releases advertising upcoming and ongoing theatrical events, mostly in the United States.",O-028,1900- .,4.4,linear feet,,,,,,False,[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/manuscript/11077'}],[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/manuscript'}],[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/types/manuscript'}],[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/media?parent=11077'}],"[{'taxonomy': 'post_tag', 'embeddable': True, 'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/tags?post=11077'}]","[{'name': 'wp', 'href': 'https://api.w.org/{rel}', 'templated': True}]",,,,,,,,,,
167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11074,2017-03-22T19:56:30,2017-03-22T12:56:30,2017-03-22T19:56:30,theatre-posters-collection-united-states,publish,manuscript,https://www.library.ucdavis.edu/archives-and-special-collections/manuscript/theatre-posters-collection-united-states/,0.0,,[2623],https://www.library.ucdavis.edu/manuscript/theatre-posters-collection-united-states/,Theatre Posters Collection: United States.,,Mostly 19th century advertisements for melodramatic productions..,O-032,1800- .,3.7,linear feet,,,,,,False,[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/manuscript/11074'}],[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/manuscript'}],[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/types/manuscript'}],[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/media?parent=11074'}],"[{'taxonomy': 'post_tag', 'embeddable': True, 'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/tags?post=11074'}]","[{'name': 'wp', 'href': 'https://api.w.org/{rel}', 'templated': True}]",,,,,,,,,,
