,ark,language of material,contributing institution,title,creator,call_number,physical description,date (inclusive),date (bulk),abstract,physical location,dates,creator/collector,extent,date,photographer,collector,material specific details,source,author,language,phyiscal location,repository,record series,origination,shelf location,original,series,id,date_gmt,modified,modified_gmt,slug,status,type,link,featured_media,template,tags,guid.rendered,title.rendered,acf.ucdlib_manuscript_biog,acf.ucdlib_manuscript_descrip,acf.ucdlib_manuscript_call_num,acf.ucdlib_manuscript_date,acf.ucdlib_manuscript_extent_num,acf.ucdlib_manuscript_extent_type,acf.ucdlib_manuscript_url,acf.ucdlib_manuscript_moreinfo_name,acf.ucdlib_manuscript_moreinfo_url,acf.ucdlib_manuscript_moreinfo2_name,acf.ucdlib_manuscript_moreinfo2_url,acf.ucdlib_manuscript_photo_cat,_links.self,_links.collection,_links.about,_links.wp:attachment,_links.wp:term,_links.curies,_links.wp:featuredmedia
0,ark:/13030/c80002p9/,English,"University of California, Davis General Library, Dept. of Special Collections",Barbara O. Schneeman Papers,"Schneeman, Barbara",D-463,8 linear feet,1934-2007,1970-2006,"The Barbara O. Schneeman Papers document UC Davis faculty member Barbara Schneeman&#39;s career as teacher, administrator, and public servant. The papers date 1934 to 2007, with the bulk of the material falling between 1988 and 2006. The collection includes materials related to Dr. Schneeman&#39;s teaching at UC Davis in the Department of Nutrition; her service as Chair of the Department of Nutrition and of Dean of the College of Agricultural and Environmental Sciences; and her work as Assistant Administrator for Nutrition in the Agricultural Research Service of the U.S. Department of Agriculture (USDA). The collection also includes a small set of photographs.","Researchers should contact Special Collections to request collections, as many are stored offsite.",,,,,,,,,,,,,,,,,,11001.0,2017-03-22T19:56:27,2017-03-22T12:56:27,2017-03-22T19:56:27,schneeman-barbara-o-papers,publish,manuscript,https://www.library.ucdavis.edu/archives-and-special-collections/manuscript/schneeman-barbara-o-papers/,0.0,,[2631],https://www.library.ucdavis.edu/manuscript/schneeman-barbara-o-papers/,"Schneeman, Barbara O. Papers","Professor of Nutrition at the University of California, Davis(1976-2007). Schneeman also served as Chair of the Department ofNutrition (1988-1993), Dean of the College of Agricultural andEnvironmental Sciences (1993-1999), and Associate Vice Provost forUniversity Research (2001-2004).",Materials related to Schneeman's teaching at UC Davis inthe Department of Nutrition; her service as Chair of the Department ofNutrition and of Dean of the College of Agricultural and EnvironmentalSciences; and her work as Assistant Administrator for Nutrition in theAgricultural Research Service of the U.S. Department of Agriculture(USDA). The collection also includes a small set of photographs.,D-463,1937-2007.,7,linear feet,http://www.oac.cdlib.org/findaid/ark:/13030/c80002p9/,,,,,False,[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/manuscript/11001'}],[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/manuscript'}],[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/types/manuscript'}],[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/media?parent=11001'}],"[{'taxonomy': 'post_tag', 'embeddable': True, 'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/tags?post=11001'}]","[{'name': 'wp', 'href': 'https://api.w.org/{rel}', 'templated': True}]",
1,ark:/13030/c8000405/,English,,Katherine Esau Collection,,D-120,,,,Reprints and reviews of numerous works on botanical anatomy and morphology.,,1932-1971,"Esau, Katherine, 1898-1997.",2 linear feet,,,,,,,,,,,,,,,10584.0,2017-03-22T19:56:13,2017-03-22T12:56:13,2017-03-22T19:56:13,esau-katherine-1898-1996-collection,publish,manuscript,https://www.library.ucdavis.edu/archives-and-special-collections/manuscript/esau-katherine-1898-1996-collection/,0.0,,[2632],https://www.library.ucdavis.edu/manuscript/esau-katherine-1898-1996-collection/,"Esau, Katherine (1898-1996). Collection.","Professor of Plant Pathology, University of California, Davis (1933-1950); author of <cite>Plant anatomy</cite> (1953), <cite>Viruses in plant hosts</cite> (1968), and <cite>The phloem</cite> (1969), among others.",Reprints and reviews of numerous works on botanical anatomy and morphology.,D-120,1932-1971.,2,linear feet,http://www.oac.cdlib.org/findaid/ark:/13030/c8000405/,,,,,False,[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/manuscript/10584'}],[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/manuscript'}],[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/types/manuscript'}],[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/media?parent=10584'}],"[{'taxonomy': 'post_tag', 'embeddable': True, 'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/tags?post=10584'}]","[{'name': 'wp', 'href': 'https://api.w.org/{rel}', 'templated': True}]",
2,ark:/13030/c8000496/,English,"University of California, Davis Library, Dept. of Special Collections",W. Mark Kliewer Papers,"Kliewer, W. M. (W. Mark)",D-438,9 linear feet,1933-1994,,"UC Davis Professor of Viticulture W. Mark Kliewer&#39;s class materials, including syllabi and lecture notes and research materials.","Researchers should contact Archives and Special Collections to request collections, as many are stored offsite.",,,,,,,,,,,,,,,,,,10741.0,2017-03-22T19:56:18,2017-03-22T12:56:18,2017-03-22T19:56:18,kliewer-w-mark-papers,publish,manuscript,https://www.library.ucdavis.edu/archives-and-special-collections/manuscript/kliewer-w-mark-papers/,0.0,,[2621],https://www.library.ucdavis.edu/manuscript/kliewer-w-mark-papers/,"Kliewer, W. Mark. Papers.","Professor of Viticulture, University of California, Davis.","Class materials including syllabi, lecture notes, and research materials. ",D-438,1933-1994.,9,linear feet,http://www.oac.cdlib.org/findaid/ark:/13030/c8000496/,,,,,False,[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/manuscript/10741'}],[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/manuscript'}],[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/types/manuscript'}],[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/media?parent=10741'}],"[{'taxonomy': 'post_tag', 'embeddable': True, 'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/tags?post=10741'}]","[{'name': 'wp', 'href': 'https://api.w.org/{rel}', 'templated': True}]",
5,ark:/13030/c8028tr1/,English,,Stephen Wilhelm Collection,,D-311,,,,"Reports and correspondence relating to cotton breeding, farming, and legislation.",,1955-1980,null,2 linear feet,,,,,,,,,,,,,,,11160.0,2017-03-22T19:56:33,2017-03-22T12:56:33,2017-03-22T19:56:33,wilhelm-stephen-collection,publish,manuscript,https://www.library.ucdavis.edu/archives-and-special-collections/manuscript/wilhelm-stephen-collection/,0.0,,[1439],https://www.library.ucdavis.edu/manuscript/wilhelm-stephen-collection/,"Wilhelm, Stephen. Collection.","Professor of Plant Pathology, University of California, Berkeley.","Reports and correspondence relating to cotton breeding, farming, and legislation.",D-311,1955-1980.,2,linear feet,http://www.oac.cdlib.org/findaid/ark:/13030/c8028tr1/,,,,,False,[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/manuscript/11160'}],[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/manuscript'}],[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/types/manuscript'}],[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/media?parent=11160'}],"[{'taxonomy': 'post_tag', 'embeddable': True, 'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/tags?post=11160'}]","[{'name': 'wp', 'href': 'https://api.w.org/{rel}', 'templated': True}]",
6,ark:/13030/c8028x80/,English,"University of California, Davis General Library, Dept. of Special Collections",Isao Fujimoto Papers,"Fujimoto, Isao",D-601,85 linear feet,1960-2015,,"Isao Fujimoto (1933-) is Senior Lecturer Emeritus of Asian American Studies and the UC Davis Graduate Program in Community Development. He joined UC Davis in 1967 as a founding member of the community development program and later was a founding member of the Asian-American Studies program. His papers include correspondence, personal journals, and publications related to farm worker and immigrant rights, development of the Northern California food movement, green technology, and community and rural development.","Researchers should contact Special Collections to request collections, as many are stored offsite.",,,,,,,,,,,,,,,,,,17536.0,2017-09-27T21:12:03,2020-03-20T09:40:40,2020-03-20T16:40:40,fujimoto-isao-papers,publish,manuscript,https://www.library.ucdavis.edu/archives-and-special-collections/manuscript/fujimoto-isao-papers/,0.0,,[2627],https://www.library.ucdavis.edu/?post_type=manuscript&#038;p=17536,"Fujimoto, Isao. Papers","Isao Fujimoto (1933-) is Senior Lecturer Emeritus of Asian American Studies and the UC Davis Graduate Program in Community Development. He joined UC Davis in 1967 as a founding member of the community development program and later founded the Asian-American Studies program. Fujimoto's many contributions to the Davis community include his work with the Davis Farmer's Market and the Davis Food Co-op, and development of the Alternative Agricultural Resources Project.","Correspondence, journals, and publications related to alternative technology, development of the Northern California food movement, and community and rural development.",D-601,1960-2015.,85,linear feet,http://www.oac.cdlib.org/findaid/ark:/13030/c8028x80/,,,,,False,[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/manuscript/17536'}],[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/manuscript'}],[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/types/manuscript'}],[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/media?parent=17536'}],"[{'taxonomy': 'post_tag', 'embeddable': True, 'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/tags?post=17536'}]","[{'name': 'wp', 'href': 'https://api.w.org/{rel}', 'templated': True}]",
7,ark:/13030/c8028xpc/,English,"University of California, Davis General Library, Dept. of Special Collections",Margrit Biever Mondavi Papers on Art and Philanthropy,"Mondavi, Margrit Biever, 1925-2016",D-613,13 items,1914-2016,1940-2016,"Swiss-American philanthropist and champion of the arts Margrit Biever Mondavi (1925-2016) was Vice President of Cultural Affairs at Robert Mondavi Winery. Her papers include correspondence, daily calendars, travel itineraries, subject files, clipping files, original artwork, photographs, and realia. Also included is a small amount of materials related to the history of Charles Krug Winery.","Researchers should contact Special Collections to request collections, as many are stored offsite.",,,,,,,,,,,,,,,,,,22502.0,2017-09-27T20:54:38,2017-09-27T13:58:19,2017-09-27T20:58:19,mondavi-margit-papers-on-art-and-philanthrophy,publish,manuscript,https://www.library.ucdavis.edu/archives-and-special-collections/manuscript/mondavi-margit-papers-on-art-and-philanthrophy/,0.0,,[2621],https://www.library.ucdavis.edu/?post_type=manuscript&#038;p=22502,"Mondavi, Margrit. Papers on Art and Philanthrophy","<div class=""collection-heading""></div>
<div class=""collection-description"">Swiss-American philanthropist and champion of the arts, Margrit Biever Mondavi (1925-2016) was Vice President of Cultural Affairs at Robert Mondavi Winery.</div>","Correspondence, daily calendars, travel itineraries, subject files, clipping files, original artwork, photographs, and realia. Also included is a small amount of materials related to the history of Charles Krug Winery.",D-613,1976-2016,24,linear feet,http://www.oac.cdlib.org/findaid/ark:/13030/c8028xpc/,,,,,False,[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/manuscript/22502'}],[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/manuscript'}],[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/types/manuscript'}],[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/media?parent=22502'}],"[{'taxonomy': 'post_tag', 'embeddable': True, 'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/tags?post=22502'}]","[{'name': 'wp', 'href': 'https://api.w.org/{rel}', 'templated': True}]",
8,ark:/13030/c8028zfn/,English,,Federal Power Commission Collection,,MC155,,,,Memorandum about Central Valley Project in California.,,1934,null,0.1 linear feet,,,,,,,,,,,,,,,10599.0,2017-03-22T19:56:13,2017-03-22T12:56:13,2017-03-22T19:56:13,federal-power-commission-collection,publish,manuscript,https://www.library.ucdavis.edu/archives-and-special-collections/manuscript/federal-power-commission-collection/,0.0,,[2629],https://www.library.ucdavis.edu/manuscript/federal-power-commission-collection/,Federal Power Commission. Collection.,,Memorandum about Central Valley Project in California.,MC155,1934,,linear feet,,,,,,False,[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/manuscript/10599'}],[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/manuscript'}],[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/types/manuscript'}],[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/media?parent=10599'}],"[{'taxonomy': 'post_tag', 'embeddable': True, 'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/tags?post=10599'}]","[{'name': 'wp', 'href': 'https://api.w.org/{rel}', 'templated': True}]",
9,ark:/13030/c8057j5r/,English,,AgRISTARS/LACIE Collection,,D-342,,,,"Aerial photographic negatives and transparencies of croplands. Country areas include Argentina, Australia, Brazil, Canada, China, India, USSR, and United States.",,circa 1970-1989,AgRISTARS Program. LACIE (Project : U.S.),464 linear feet,,,,,,,,,,,,,,,10371.0,2017-03-22T19:56:05,2017-03-22T12:56:05,2017-03-22T19:56:05,agristarslacie-collection,publish,manuscript,https://www.library.ucdavis.edu/archives-and-special-collections/manuscript/agristarslacie-collection/,0.0,,[1439],https://www.library.ucdavis.edu/manuscript/agristarslacie-collection/,AgRISTARS/LACIE. Collection.,"Collection represents the first major step in instituting an automated system capable of monitoring crop conditions and estimating crop production on a worldwide basis. Accompanying documents assist in the identification of small grains, such as wheat, using satellite imagery. This joint agricultural monitoring effort included the National Aeronautics and Space Administration, the U.S. Department of Agriculture, and the National Oceanic and Atmospheric Administration.","Aerial photographic negatives and transparencies of croplands. Country areas include Argentina, Australia, Brazil, Canada, China, India, USSR, and United States.",D-342,197--198-.,464,linear feet,http://www.oac.cdlib.org/findaid/ark:/13030/c8057j5r/,,,,,False,[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/manuscript/10371'}],[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/manuscript'}],[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/types/manuscript'}],[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/media?parent=10371'}],"[{'taxonomy': 'post_tag', 'embeddable': True, 'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/tags?post=10371'}]","[{'name': 'wp', 'href': 'https://api.w.org/{rel}', 'templated': True}]",
10,ark:/13030/c8057k4q/,English,,Alan Corneretto Wine Label Collection,,D-460,,,,"An estimated 30,000 wine labels predominately from France, Germany, Italy, and California. He collected throughout his lifetime with the bulk of the labels spanning the years from the 1960s to the 1990s.",,circa 1960-1999,"Corneretto, Alan.",6.8 linear feet,,,,,,,,,,,,,,,10515.0,2017-03-22T19:56:10,2017-03-22T12:56:10,2017-03-22T19:56:10,corneretto-alan-wine-label-collection,publish,manuscript,https://www.library.ucdavis.edu/archives-and-special-collections/manuscript/corneretto-alan-wine-label-collection/,0.0,,[2621],https://www.library.ucdavis.edu/manuscript/corneretto-alan-wine-label-collection/,"Corneretto, Alan. Wine Label Collection.",Alan Corneretto (d. 2002) worked as an editor and in public relations with an emphasis in the sciences.  He traveled extensively and was a serious student of wine and wine labeling.,"An estimated 30,000 wine labels predominately from France, Germany, Italy, and California.  He collected throughout his lifetime with the bulk of the labels spanning the years from the 1960s to the 1990s.",D-460,Circa 1960-1999.,6.8,linear feet,http://www.oac.cdlib.org/findaid/ark:/13030/c8057k4q/,,,,,False,[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/manuscript/10515'}],[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/manuscript'}],[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/types/manuscript'}],[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/media?parent=10515'}],"[{'taxonomy': 'post_tag', 'embeddable': True, 'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/tags?post=10515'}]","[{'name': 'wp', 'href': 'https://api.w.org/{rel}', 'templated': True}]",
14,ark:/13030/c8086c5b/,English,,"Newton, Gordon, &amp; Johnson, Merchants Collection",,MC016,,,,Letters to Madeira merchants regarding wine shipments in the late 18th century.,,1763-1799,null,0.1 linear feet,,,,,,,,,,,,,,,10872.0,2017-03-22T19:56:23,2017-03-22T12:56:23,2017-03-22T19:56:23,newton-gordon-johnson-merchants-collection,publish,manuscript,https://www.library.ucdavis.edu/archives-and-special-collections/manuscript/newton-gordon-johnson-merchants-collection/,0.0,,[2621],https://www.library.ucdavis.edu/manuscript/newton-gordon-johnson-merchants-collection/,"Newton, Gordon, &amp; Johnson, Merchants. Collection.",,Letters to Madeira merchants regarding wine shipments in the late 18th century.,MC016,1763-1799.,,linear feet,,,,,,False,[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/manuscript/10872'}],[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/manuscript'}],[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/types/manuscript'}],[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/media?parent=10872'}],"[{'taxonomy': 'post_tag', 'embeddable': True, 'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/tags?post=10872'}]","[{'name': 'wp', 'href': 'https://api.w.org/{rel}', 'templated': True}]",
