,ark,language of material,contributing institution,title,creator,call_number,physical description,date (inclusive),date (bulk),abstract,physical location,dates,creator/collector,extent,date,photographer,collector,material specific details,source,author,language,phyiscal location,repository,record series,origination,shelf location,original,series,id,date_gmt,modified,modified_gmt,slug,status,type,link,featured_media,template,tags,guid.rendered,title.rendered,acf.ucdlib_manuscript_biog,acf.ucdlib_manuscript_descrip,acf.ucdlib_manuscript_call_num,acf.ucdlib_manuscript_date,acf.ucdlib_manuscript_extent_num,acf.ucdlib_manuscript_extent_type,acf.ucdlib_manuscript_url,acf.ucdlib_manuscript_moreinfo_name,acf.ucdlib_manuscript_moreinfo_url,acf.ucdlib_manuscript_moreinfo2_name,acf.ucdlib_manuscript_moreinfo2_url,acf.ucdlib_manuscript_photo_cat,_links.self,_links.collection,_links.about,_links.wp:attachment,_links.wp:term,_links.curies,_links.wp:featuredmedia,acf.ucdlib_uacollections_description,acf.ucdlib_uacollections_history,acf.ucdlib_uacollections_call_num,acf.ucdlib_uacollections_extent_num,acf.ucdlib_uacollections_extent_type,acf.ucdlib_uacollections_date,acf.ucdlib_uacollections_subject,acf.ucdlib_uacollections_moreinfo_url,acf.ucdlib_uacollections_moreinfo_name
3,ark:/13030/c80007jk/,English,"University of California, Davis Library, University Archives",University of California Genetic Resources Conservation Program Records,University of California (System). Genetic Resources Conservation Program,AR-137,26 linear feet,1979-2008,,"Correspondence, meeting agendas, minutes, notes, project files, and photographs and slides produced by the UC Genetic Resources Conservation Program.","Researchers should contact Archives and Special Collections to request collections, as many are stored offsite.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,ark:/13030/c80g3mv4/,Collection materials in English.,,Pacific Regional Humanities Center Collection,Pacific Regional Humanities Center,AR-129,2 videodisc (DVD),1995-2006,,The Pacific Regional Humanities Center (PRHC) was an initiative funded by the National Endowment for the Humanities (NEH) in 2002 and overseen by the UC Davis Humanities Institute. The PRHC emphasized the study of &#34;place.&#34; This small collection contains DVDs and videocassettes chronicling PRHC projects and events. Also included is the PRHC implementation proposal that was submitted to the NEH.,"Researchers should contact Special Collections to request collections, as many are stored offsite.",,,2.4 linear feet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,ark:/13030/c80k2b3m/,Collection materials in English.,,Block CA Society Records,Block CA Society,AR-186,,1928-1970,,"The Block CA Society, an athletics honor society formed in 1922, organized social events and issued awards. This small collection contains the club&#39;s meeting minutes and treasurer&#39;s account books from 1928-1970.","Researchers should contact Special Collections to request collections, as many are stored offsite.",,,0.4 linear feet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,ark:/13030/c80v8k7b/,English,"University of California, Davis Library, University Archives",Nature and Culture Program Records,"University of California, Davis. College of Letters and Science",AR-175,1 linear foot,1993-2011,,"Correspondence, course descriptions, program requirements, reports, flyers, and posters created by the Nature and Culture Program.","Researchers should contact Archives and Special Collections to request collections, as many are stored offsite.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,ark:/13030/c8154mgs/,Collection materials in English.,,Department of Biological and Agricultural Engineering Records,"University of California, Davis. Department of Biological and Agricultural Engineering",AR-012,7.6 linear feet,1915-2014,,"The Department of Biological and Agricultural Engineering Records contain subject files, correspondence, files related to the American Society of Agricultural Engineers, and farm building plans. The collection also contains an index of images and associated negatives that were photographed by the department from circa 1915-1951. Subjects of the images include research by the department, various types of agricultural equipment such as: plows, harrows and rollers, cultivators, subsoilers, and harvesting and haying machinery, as well as agricultural buildings such as: barns, silos, corn cribs, poultry houses.","Researchers should contact Special Collections to request collections, as many are stored offsite.",,,67 linear feet,,"Hoffman, A.H.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,ark:/13030/c81c2369/,English,"University of California, Davis General Library, University Archives",Cal Aggie Alumni Association Collection,California Aggie Alumni Association,AR-072,2 items,1923-2017,,"The collection includes minutes, reports, correspondence, publications, membership lists, clipping files, and photographs related to the operation and activities of the Cal Aggie Alumni Association.","Researchers should contact Special Collections to request collections, as many are stored offsite.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,ark:/13030/c81g0sp4/,English,"University of California, Davis Library, University Archives","University of California, Davis Foundation Plant Services Records","University of California, Davis. Foundation Plant Services",AR-050,34.4 linear feet,1954-2007,,"Correspondence, minutes, reports, data sheets, publication, photographs, and slides relating to the production and dissemination of disease free cuttings and rootstock.","Researchers should contact Archives and Special Collections to request collections, as many are stored offsite.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,ark:/13030/c81r6wxj/,English,"University of California, Davis Library, University Archives","University of California, Davis Office of the Vice Chancellor for University Relations Records","University of California, Davis. Office of the Vice Chancellor for University Relations",AR-021,10 linear feet,1980-1987,,"Office files relating to activities involving CAAA, campus development, and campus outreach.","Researchers should contact Archives and Special Collections to request collections, as many are stored offsite.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,ark:/13030/c8223145/,English,"University of California, Davis Library, University Archives",Office of the Chancellor Records,"University of California, Davis. Office of the Chancellor.",AR-023,489.4 linear feet,1937-2014,,"Office files relating to the physical planning and administration of the University of California, Davis.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,ark:/13030/c83r0zn4/,English,"University of California, Davis Library, University Archives",Department of Animal Science Records,"University of California, Davis. Department of Animal Science",AR-001,173.2 linear feet,1925-2017,,"The mission of the Department of Animal Science is to create and disseminate knowledge about animals for the betterment of animals, society, and the environment. The records include correspondence, minutes, reports, subject files, course lists, scrapbooks, and reel-to-reel tapes documenting the administrative activities and programs of the Department of Animal Science.","Researchers should contact Special Collections to request collections, as many are stored offsite.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
