call_number,New,add,recordid,record,JSON,Linked Data,lib,lib,lib-ua-collection,lib-manuscript,oac-archives,oac-collections
AR,skip, ,,,,,,,,,,
AR-001,TEST,T,alma9980991648903126,record,JSON,LD,T,,ark:/13030/c83r0zn4/,,ark:/13030/c83r0zn4/,
AR-001;345,skip, ,,,,,,,,,ark:/13030/c83r0zn4/,
AR-003,todo,T,alma9981367447503126,record,JSON,LD,,,,,ark:/13030/c87w6kbf/,
AR-004,todo,T,alma990030262850403126,record,JSON,LD,,,,,ark:/13030/c84j0mkb/,
AR-005,todo,T,alma9981391060003126,record,JSON,LD,,,,,ark:/13030/c8w09d39/,
AR-007,todo,T,alma9981391059903126,record,JSON,LD,,,,,ark:/13030/c8rb7brf/,
AR-008,todo,T,alma990004779460403126,record,JSON,LD,,,,,ark:/13030/c80r9vwh/,
AR-010,TEST,T,alma990003327500403126,record,JSON,LD,T,,ark:/13030/c8gh9kgr/,,ark:/13030/c8gh9kgr/,
AR-012,TEST,T,alma990039187140403126,record,JSON,LD,T,,ark:/13030/c8154mgs/,,ark:/13030/c8154mgs/,
AR-013,todo,T,alma990032309100403126,record,JSON,LD,,,,,ark:/13030/kt5h4nf5dx/,
AR-014,TEST,T,9981189652003126,record,JSON,LD,T,,,,ark:/13030/c85h7npq/,
AR-015,todo,T,,,,,,,,,ark:/13030/c8cz3dwb/,
AR-016,todo,T,alma990007570550403126,record,JSON,LD,,,,,ark:/13030/c8w09cdx/,
AR-017,todo,T,alma9981367447303126,record,JSON,LD,,,,,ark:/13030/c8445tng/,
AR-019,TEST,T,alma9980952153203126,record,JSON,LD,T,,ark:/13030/c88k7fnd/,,ark:/13030/c88k7fnd/,
AR-020,todo,T,alma990005347680403126,record,JSON,LD,,,,,ark:/13030/c8q81kjc/,
AR-021,TEST,T,alma990007570560403126,record,JSON,LD,T,,,,ark:/13030/c81r6wxj/,
AR-022,todo,T,alma990036043850403126,record,JSON,LD,,,,,ark:/13030/c8jh3snt/,
AR-023,skip,,alma990007593410403126,record,JSON,LD,T,,,,ark:/13030/c8223145/,
AR-024;389,todo,T,,,,,,,,,ark:/13030/c8g1671t/,
AR-029,todo,T,alma990005550710403126,record,JSON,LD,,,,,ark:/13030/c8vt1zk4/,
AR-030,todo,T,alma9981391059803126,record,JSON,LD,,,,,ark:/13030/c8mk6m2k/,
AR-031,TEST,T,alma990029954930403126,record,JSON,LD,T,,ark:/13030/c8rj4mq7/,,ark:/13030/c8rj4mq7/,
