,ark,language of material,contributing institution,title,creator,call_number,physical description,date (inclusive),date (bulk),abstract,physical location,dates,creator/collector,extent,date,photographer,collector,material specific details,source,author,language,phyiscal location,repository,record series,origination,shelf location,original,series,id,date_gmt,modified,modified_gmt,slug,status,type,link,featured_media,template,tags,guid.rendered,title.rendered,acf.ucdlib_manuscript_biog,acf.ucdlib_manuscript_descrip,acf.ucdlib_manuscript_call_num,acf.ucdlib_manuscript_date,acf.ucdlib_manuscript_extent_num,acf.ucdlib_manuscript_extent_type,acf.ucdlib_manuscript_url,acf.ucdlib_manuscript_moreinfo_name,acf.ucdlib_manuscript_moreinfo_url,acf.ucdlib_manuscript_moreinfo2_name,acf.ucdlib_manuscript_moreinfo2_url,acf.ucdlib_manuscript_photo_cat,_links.self,_links.collection,_links.about,_links.wp:attachment,_links.wp:term,_links.curies,_links.wp:featuredmedia,acf.ucdlib_uacollections_description,acf.ucdlib_uacollections_history,acf.ucdlib_uacollections_call_num,acf.ucdlib_uacollections_extent_num,acf.ucdlib_uacollections_extent_type,acf.ucdlib_uacollections_date,acf.ucdlib_uacollections_subject,acf.ucdlib_uacollections_moreinfo_url,acf.ucdlib_uacollections_moreinfo_name
4,ark:/13030/c80007w2/,English,,California Historical Quarterly Printing Blocks Collection,,D-160,,,,Printing blocks used in the production of issues of California Historical Quarterly.,,circa 1930-circa 1945,California Historical Society.,9.4 linear feet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,ark:/13030/c8057ng1/,English,"University of California, Davis Library, University Archives",University of California Office of the President Records,University of California (System). Office of the President,AR-220,8 linear feet,1883-1991,,Biography/Bibliography and other forms submitted to the University of California Office of the President.,"Researchers should contact Archives and Special Collections to request collections, as many are stored offsite.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,ark:/13030/c8057p22/,English,"University of California, Davis Library, University Archives",University of California Records,University of California (System),AR-102,9 linear feet,1940s-1971,,"Reports, surveys, minutes, and correspondence related to the University of California system and the University of California, Berkeley Agricultural Experiment Station.","Researchers should contact Archives and Special Collections to request collections, as many are stored offsite.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,ark:/13030/c8086bd2/,English,"University of California, Davis General Library, University Archives",UC Davis Yearbooks,"University of California, Davis. Library. Dept. of Special Collections",AR-096,25 linear feet,1911-2006,,,"Researchers should contact Special Collections to request collections, as many are stored offsite.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,ark:/13030/c80g3scx/,English,"University of California, Davis Library, University Archives",Department of Chicana/o Studies Records,"University of California, Davis. Chicano Studies Program",AR-215,18.1 linear feet,1968-2002,,"Correspondence, minutes, course plans, course materials, commitee reports, department history, and other materials related to the history and operation of the UC Davis Chicana/o Studies Department.","Researchers should contact Archives and Special Collections to request collections, as many are stored offsite.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,ark:/13030/c80r9vwh/,English,"University of California, Davis Library, University Archives",Campus Recreation Records,"University of California, Davis. Department of Campus Recreation",AR-008,4.4 linear feet,1973-2002,,"Materials from the construction and opening of the Recreation Hall (now Activities and Recreation Center) and photographs of various Campus Recreation programs including: Outdoor Adventures, the Craft Center, and Equestrian Center.","Researchers should contact Archives and Special Collections to request collections, as many are stored offsite.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,ark:/13030/c80v8kzr/,English,"University of California, Davis Library, University Archives",University of California Cooperative Extension Service Records,University of California (System). Cooperative Extension,AR-103,9.4 linear feet,1918-1995,,"Subject files, reports, correspondence, and publications of the University of California Cooperative Extension Service.","Researchers should contact Archives and Special Collections to request collections, as many are stored offsite.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,ark:/13030/c8154kbk/,English,,Mississippi Freedom Summer Project Collection,,D-579,,,,"Collection includes newsletters, memoranda, clippings, and press releases related to the Mississippi Freedom Summer Project.",,1963-1970,"Hargreaves, Robert",0.4 linear feet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,ark:/13030/c8154pt3/,English,"University of California, Davis General Library, University Archives",California Aggie Photographs,"University of California, Davis. Associated Students",AR-200,6 linear feet,circa 1985-2007,,,"Researchers should contact Special Collections to request collections, as many are stored offsite.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,ark:/13030/c8154q7w/,English,"University of California, Davis Library, University Archives",Reprographics Records,"University of California, Davis. Reprographics",AR-045,2 linear feet,1975-1985,,"Programs, announcements, and brochures for campus events such as entertainment, lectures, and ceremonies.","Researchers should contact Archives and Special Collections to request collections, as many are stored offsite.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
