,ark,language of material,contributing institution,title,creator,call_number,physical description,date (inclusive),date (bulk),abstract,physical location,dates,creator/collector,extent,date,photographer,collector,material specific details,source,author,language,phyiscal location,repository,record series,origination,shelf location,original,series,id,date_gmt,modified,modified_gmt,slug,status,type,link,template,tags,guid.rendered,title.rendered,acf.ucdlib_uacollections_description,acf.ucdlib_uacollections_history,acf.ucdlib_uacollections_call_num,acf.ucdlib_uacollections_extent_num,acf.ucdlib_uacollections_extent_type,acf.ucdlib_uacollections_date,acf.ucdlib_uacollections_subject,acf.ucdlib_uacollections_moreinfo_url,acf.ucdlib_uacollections_moreinfo_name,_links.self,_links.collection,_links.about,_links.wp:attachment,_links.wp:term,_links.curies
3,ark:/13030/c80007jk/,English,"University of California, Davis Library, University Archives",University of California Genetic Resources Conservation Program Records,University of California (System). Genetic Resources Conservation Program,AR-137,26 linear feet,1979-2008,,"Correspondence, meeting agendas, minutes, notes, project files, and photographs and slides produced by the UC Genetic Resources Conservation Program.","Researchers should contact Archives and Special Collections to request collections, as many are stored offsite.",,,,,,,,,,,,,,,,,,6566.0,2017-02-23T21:31:01,2017-02-23T21:31:01,2017-02-23T21:31:01,genetic-resources-conservation-program,publish,ua-collection,https://www.library.ucdavis.edu/ua-collection/genetic-resources-conservation-program/,,[],https://www.library.ucdavis.edu/ua-collection/genetic-resources-conservation-program/,Genetic Resources Conservation Program,"Correspondence, meeting agendas, minutes, notes, project files, and photographs and slides.","The Genetic Resources Conservation program was established in 1985 as a University of California Statewide Program of the Division of Agriculture and Natural Resources, through a special budget initiative by the Division in response to request from the State of California. The Program was supported by a baseline budget from the Division and various extramural funds. The Program was concerned with California's biological diversity and its conservation in the broadest sense: onsite and offsite conservation of the native flora and fauna, collections of germplasm amassed for agricultural, medicinal, and industrial uses, and collections of genetics stocks, tissues,  cells, and DNA developed for teaching and research purposes. The Program as closed by the Division effective June 30, 2008.",AR-137,25,linear feet,1979-2008.,University of California (System),,,[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/ua-collection/6566'}],[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/ua-collection'}],[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/types/ua-collection'}],[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/media?parent=6566'}],"[{'taxonomy': 'post_tag', 'embeddable': True, 'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/tags?post=6566'}]","[{'name': 'wp', 'href': 'https://api.w.org/{rel}', 'templated': True}]"
16,ark:/13030/c80g3mv4/,Collection materials in English.,,Pacific Regional Humanities Center Collection,Pacific Regional Humanities Center,AR-129,2 videodisc (DVD),1995-2006,,The Pacific Regional Humanities Center (PRHC) was an initiative funded by the National Endowment for the Humanities (NEH) in 2002 and overseen by the UC Davis Humanities Institute. The PRHC emphasized the study of &#34;place.&#34; This small collection contains DVDs and videocassettes chronicling PRHC projects and events. Also included is the PRHC implementation proposal that was submitted to the NEH.,"Researchers should contact Special Collections to request collections, as many are stored offsite.",,,2.4 linear feet,,,,,,,,,,,,,,,6578.0,2017-02-23T21:31:01,2017-04-25T10:47:02,2017-04-25T17:47:02,pacific-regional-humanities-center-collection,publish,ua-collection,https://www.library.ucdavis.edu/ua-collection/pacific-regional-humanities-center-collection/,,[],https://www.library.ucdavis.edu/ua-collection/pacific-regional-humanities-center-collection/,Pacific Regional Humanities Center Collection,This small collection contains DVDs and videocassettes chronicling PRHC projects and events. Also included is the PRHC implementation proposal that was submitted to the NEH. ,The Pacific Regional Humanities Center (PRHC) was an initiative funded by the National Endowment for the Humanities (NEH) in 2002 and overseen by the UC Davis Humanities Institute.,AR-129,2.4,linear feet,1995-2006.,College of Letters and Science,http://www.oac.cdlib.org/findaid/ark:/13030/c80g3mv4/,Finding Aid on the Online Archive of California,[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/ua-collection/6578'}],[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/ua-collection'}],[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/types/ua-collection'}],[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/media?parent=6578'}],"[{'taxonomy': 'post_tag', 'embeddable': True, 'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/tags?post=6578'}]","[{'name': 'wp', 'href': 'https://api.w.org/{rel}', 'templated': True}]"
19,ark:/13030/c80k2b3m/,Collection materials in English.,,Block CA Society Records,Block CA Society,AR-186,,1928-1970,,"The Block CA Society, an athletics honor society formed in 1922, organized social events and issued awards. This small collection contains the club&#39;s meeting minutes and treasurer&#39;s account books from 1928-1970.","Researchers should contact Special Collections to request collections, as many are stored offsite.",,,0.4 linear feet,,,,,,,,,,,,,,,6540.0,2017-02-23T21:30:59,2017-05-02T14:21:58,2017-05-02T21:21:58,block-ca-society-records,publish,ua-collection,https://www.library.ucdavis.edu/ua-collection/block-ca-society-records/,,[],https://www.library.ucdavis.edu/ua-collection/block-ca-society-records/,Block CA Society Records,This small collection contains the club's meeting minutes and treasurer's account books.,"The Block CA Society, an athletics honor society formed in 1922, organized social events and issued awards.",AR-186,0.4,linear feet,1928-1970.,Student and UCD Community Organizations,http://www.oac.cdlib.org/findaid/ark:/13030/c80k2b3m/,Finding Aid on the Online Archive of California,[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/ua-collection/6540'}],[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/ua-collection'}],[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/types/ua-collection'}],[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/media?parent=6540'}],"[{'taxonomy': 'post_tag', 'embeddable': True, 'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/tags?post=6540'}]","[{'name': 'wp', 'href': 'https://api.w.org/{rel}', 'templated': True}]"
26,ark:/13030/c80v8k7b/,English,"University of California, Davis Library, University Archives",Nature and Culture Program Records,"University of California, Davis. College of Letters and Science",AR-175,1 linear foot,1993-2011,,"Correspondence, course descriptions, program requirements, reports, flyers, and posters created by the Nature and Culture Program.","Researchers should contact Archives and Special Collections to request collections, as many are stored offsite.",,,,,,,,,,,,,,,,,,6574.0,2017-02-23T21:31:01,2017-02-23T21:31:01,2017-02-23T21:31:01,nature-and-culture-program-records,publish,ua-collection,https://www.library.ucdavis.edu/ua-collection/nature-and-culture-program-records/,,[],https://www.library.ucdavis.edu/ua-collection/nature-and-culture-program-records/,Nature and Culture Program Records.,"Correspondence, course descriptions, program requirements, reports, flyers, and posters.","Nature and Culture, an undergraduate major in the College of Letters and Sciences, provided interdisciplinary studies of therelationships that existed between human cultures and the natural world. The major was discontinued in 2011.",AR-175,1,linear feet,1993-2011.,College of Letters and Science,,,[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/ua-collection/6574'}],[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/ua-collection'}],[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/types/ua-collection'}],[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/media?parent=6574'}],"[{'taxonomy': 'post_tag', 'embeddable': True, 'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/tags?post=6574'}]","[{'name': 'wp', 'href': 'https://api.w.org/{rel}', 'templated': True}]"
34,ark:/13030/c8154mgs/,Collection materials in English.,,Department of Biological and Agricultural Engineering Records,"University of California, Davis. Department of Biological and Agricultural Engineering",AR-012,7.6 linear feet,1915-2014,,"The Department of Biological and Agricultural Engineering Records contain subject files, correspondence, files related to the American Society of Agricultural Engineers, and farm building plans. The collection also contains an index of images and associated negatives that were photographed by the department from circa 1915-1951. Subjects of the images include research by the department, various types of agricultural equipment such as: plows, harrows and rollers, cultivators, subsoilers, and harvesting and haying machinery, as well as agricultural buildings such as: barns, silos, corn cribs, poultry houses.","Researchers should contact Special Collections to request collections, as many are stored offsite.",,,67 linear feet,,"Hoffman, A.H.",,,,,,,,,,,,,6558.0,2017-02-23T21:31:00,2017-05-02T14:12:41,2017-05-02T21:12:41,department-of-biological-and-agricultural-engineering-records,publish,ua-collection,https://www.library.ucdavis.edu/ua-collection/department-of-biological-and-agricultural-engineering-records/,,[],https://www.library.ucdavis.edu/ua-collection/department-of-biological-and-agricultural-engineering-records/,Department of Biological and Agricultural Engineering Records,"The collection contain subject files, correspondence, files related to the American Society of Agricultural Engineers, and farm building plans. The collection also contains an index of images and associated negatives that were photographed by the department from circa 1915-1951. Subjects of the images include research by the department, various types of agricultural equipment such as: plows, harrows and rollers, cultivators, subsoilers, and harvesting and haying machinery, as well as agricultural buildings such as: barns, silos, corn cribs, poultry houses.",,AR-012,67,linear feet,1915-2014.,College of Agriculture and Environmental Sciences,http://www.oac.cdlib.org/findaid/ark:/13030/c8154mgs/,Finding Aid on the Online Archive of California,[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/ua-collection/6558'}],[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/ua-collection'}],[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/types/ua-collection'}],[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/media?parent=6558'}],"[{'taxonomy': 'post_tag', 'embeddable': True, 'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/tags?post=6558'}]","[{'name': 'wp', 'href': 'https://api.w.org/{rel}', 'templated': True}]"
39,ark:/13030/c81c2369/,English,"University of California, Davis General Library, University Archives",Cal Aggie Alumni Association Collection,California Aggie Alumni Association,AR-072,2 items,1923-2017,,"The collection includes minutes, reports, correspondence, publications, membership lists, clipping files, and photographs related to the operation and activities of the Cal Aggie Alumni Association.","Researchers should contact Special Collections to request collections, as many are stored offsite.",,,,,,,,,,,,,,,,,,26326.0,2018-02-13T21:46:59,2018-02-13T13:46:59,2018-02-13T21:46:59,cal-aggie-alumni-association-collection,publish,ua-collection,https://www.library.ucdavis.edu/ua-collection/cal-aggie-alumni-association-collection/,,[],https://www.library.ucdavis.edu/?post_type=ua-collection&#038;p=26326,Cal Aggie Alumni Association Collection,"Minutes, reports, correspondence, publications, membership lists, clipping files, and photographs related to the operation and activities of the Cal Aggie Alumni Association. ","The Cal Aggie Alumni Association (CAAA) began in 1912 as an association of graduates of the University Farm School. It formalized its role in 1930, when it was chartered as the Davis chapter of the California Alumni Association at UC Berkeley. In 1963, the CAAA became an independent group.",AR-072,2.4 ,linear feet,1923-2017 ,,http://www.oac.cdlib.org/findaid/ark:/13030/c81c2369/,Finding Aid on the Online Archive of California,[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/ua-collection/26326'}],[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/ua-collection'}],[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/types/ua-collection'}],[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/media?parent=26326'}],"[{'taxonomy': 'post_tag', 'embeddable': True, 'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/tags?post=26326'}]","[{'name': 'wp', 'href': 'https://api.w.org/{rel}', 'templated': True}]"
42,ark:/13030/c81g0sp4/,English,"University of California, Davis Library, University Archives","University of California, Davis Foundation Plant Services Records","University of California, Davis. Foundation Plant Services",AR-050,34.4 linear feet,1954-2007,,"Correspondence, minutes, reports, data sheets, publication, photographs, and slides relating to the production and dissemination of disease free cuttings and rootstock.","Researchers should contact Archives and Special Collections to request collections, as many are stored offsite.",,,,,,,,,,,,,,,,,,6564.0,2017-02-23T21:31:01,2017-02-23T21:31:01,2017-02-23T21:31:01,foundation-plant-materials-service,publish,ua-collection,https://www.library.ucdavis.edu/ua-collection/foundation-plant-materials-service/,,[],https://www.library.ucdavis.edu/ua-collection/foundation-plant-materials-service/,Foundation Plant Materials Service,Office files relating to the production and dissemination of disease free cuttings and rootstock.,,AR-050,22,linear feet,1954-1985.,College of Agriculture and Environmental Sciences,,,[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/ua-collection/6564'}],[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/ua-collection'}],[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/types/ua-collection'}],[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/media?parent=6564'}],"[{'taxonomy': 'post_tag', 'embeddable': True, 'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/tags?post=6564'}]","[{'name': 'wp', 'href': 'https://api.w.org/{rel}', 'templated': True}]"
50,ark:/13030/c81r6wxj/,English,"University of California, Davis Library, University Archives","University of California, Davis Office of the Vice Chancellor for University Relations Records","University of California, Davis. Office of the Vice Chancellor for University Relations",AR-021,10 linear feet,1980-1987,,"Office files relating to activities involving CAAA, campus development, and campus outreach.","Researchers should contact Archives and Special Collections to request collections, as many are stored offsite.",,,,,,,,,,,,,,,,,,6594.0,2017-02-23T21:31:03,2017-02-23T21:31:03,2017-02-23T21:31:03,university-relations-office-of-the-vice-chancellor-of,publish,ua-collection,https://www.library.ucdavis.edu/ua-collection/university-relations-office-of-the-vice-chancellor-of/,,[],https://www.library.ucdavis.edu/ua-collection/university-relations-office-of-the-vice-chancellor-of/,"University Relations, Office of the Vice-Chancellor of","Office files relating to activities involving CAAA, campus development, and campus outreach.",,AR-021,10,linear feet,1980-1987.,Vice Chancellor for University Relations,,,[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/ua-collection/6594'}],[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/ua-collection'}],[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/types/ua-collection'}],[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/media?parent=6594'}],"[{'taxonomy': 'post_tag', 'embeddable': True, 'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/tags?post=6594'}]","[{'name': 'wp', 'href': 'https://api.w.org/{rel}', 'templated': True}]"
57,ark:/13030/c8223145/,English,"University of California, Davis Library, University Archives",Office of the Chancellor Records,"University of California, Davis. Office of the Chancellor.",AR-023,489.4 linear feet,1937-2014,,"Office files relating to the physical planning and administration of the University of California, Davis.",,,,,,,,,,,,,,,,,,,6550.0,2017-02-23T21:31:00,2017-02-23T21:31:00,2017-02-23T21:31:00,chancellor-office-of-the,publish,ua-collection,https://www.library.ucdavis.edu/ua-collection/chancellor-office-of-the/,,[],https://www.library.ucdavis.edu/ua-collection/chancellor-office-of-the/,"Chancellor, Office of the","Office files relating to the physical planning and administration of the University of California, Davis.",,AR-023,420,linear feet,1953-1999,Chancellor,,,[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/ua-collection/6550'}],[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/ua-collection'}],[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/types/ua-collection'}],[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/media?parent=6550'}],"[{'taxonomy': 'post_tag', 'embeddable': True, 'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/tags?post=6550'}]","[{'name': 'wp', 'href': 'https://api.w.org/{rel}', 'templated': True}]"
96,ark:/13030/c83r0zn4/,English,"University of California, Davis Library, University Archives",Department of Animal Science Records,"University of California, Davis. Department of Animal Science",AR-001,173.2 linear feet,1925-2017,,"The mission of the Department of Animal Science is to create and disseminate knowledge about animals for the betterment of animals, society, and the environment. The records include correspondence, minutes, reports, subject files, course lists, scrapbooks, and reel-to-reel tapes documenting the administrative activities and programs of the Department of Animal Science.","Researchers should contact Special Collections to request collections, as many are stored offsite.",,,,,,,,,,,,,,,,,,26330.0,2018-02-13T22:22:40,2018-02-13T14:22:40,2018-02-13T22:22:40,department-of-animal-science-records,publish,ua-collection,https://www.library.ucdavis.edu/ua-collection/department-of-animal-science-records/,,[],https://www.library.ucdavis.edu/?post_type=ua-collection&#038;p=26330,Department of Animal Science Records,"Correspondence, minutes, reports, subject files, course lists, and scrapbooks documenting the administrative activities and programs of the Department of Animal Science. ","The Department of Animal Science, originally the Division of Animal Husbandry, originated in Berkeley in 1901. The division moved to Davis in 1908 and 1909 and later became the Department of Animal Husbandry. The department's name changed to Animal Science in 1967.",AR-001,173.2 ,linear feet,1925-2017.,,http://www.oac.cdlib.org/findaid/ark:/13030/c83r0zn4/,Finding Aid on the Online Archive of California,[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/ua-collection/26330'}],[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/ua-collection'}],[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/types/ua-collection'}],[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/media?parent=26330'}],"[{'taxonomy': 'post_tag', 'embeddable': True, 'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/tags?post=26330'}]","[{'name': 'wp', 'href': 'https://api.w.org/{rel}', 'templated': True}]"
